#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: survivor-strafe-right@2x.png (668 x 248)
# $TexturePacker:SmartUpdate:46060fabe12aed53c66294c124f89084:c82bf352092f05f5b6202c1661bbfac4:0669816037da385d103c60c6e31a065e$
#

survivor-strafe_right_0;0;1;1;131;149;154;176;0.5038167938931297;0.4966442953020134
survivor-strafe_right_1;0;134;1;131;145;154;176;0.5038167938931297;0.496551724137931
survivor-strafe_right_2;0;267;1;131;137;154;176;0.5038167938931297;0.49635036496350365
survivor-strafe_right_3;0;400;1;131;128;154;176;0.5038167938931297;0.4921875
survivor-strafe_right_4;0;400;131;131;116;154;176;0.5038167938931297;0.49137931034482757
survivor-strafe_right_5;0;267;140;131;105;154;176;0.5038167938931297;0.4857142857142857
survivor-strafe_right_6;0;134;148;131;93;154;176;0.5038167938931297;0.4838709677419355
survivor-strafe_right_7;0;1;152;131;84;154;176;0.5038167938931297;0.4880952380952381
survivor-strafe_right_8;0;533;1;131;80;154;176;0.5038167938931297;0.4875
survivor-strafe_right_9;0;533;83;131;74;154;176;0.5038167938931297;0.4864864864864865
survivor-strafe_right_10;0;533;159;131;72;154;176;0.5038167938931297;0.4861111111111111
survivor-strafe_right_11;0;533;83;131;74;154;176;0.5038167938931297;0.4864864864864865
survivor-strafe_right_12;0;533;1;131;80;154;176;0.5038167938931297;0.4875
survivor-strafe_right_13;0;1;152;131;84;154;176;0.5038167938931297;0.4880952380952381
survivor-strafe_right_14;0;134;148;131;93;154;176;0.5038167938931297;0.4838709677419355
survivor-strafe_right_15;0;267;140;131;105;154;176;0.5038167938931297;0.4857142857142857
survivor-strafe_right_16;0;400;131;131;116;154;176;0.5038167938931297;0.49137931034482757
survivor-strafe_right_17;0;400;1;131;128;154;176;0.5038167938931297;0.4921875
survivor-strafe_right_18;0;267;1;131;137;154;176;0.5038167938931297;0.49635036496350365
survivor-strafe_right_19;0;134;1;131;145;154;176;0.5038167938931297;0.496551724137931
