#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: survivor-strafe.png (700 x 252)
# $TexturePacker:SmartUpdate:a9ee897770fe037a95974d36f2fa33fe:3d27d11f2d7b9ac7898fa675c9a2700b:0d9e4ed205702348fdb36f164327995c$
#

survivor-strafe_left_0;0;1;1;132;146;155;174;0.5037878787878788;0.4931506849315068
survivor-strafe_left_1;0;135;1;132;142;155;174;0.5037878787878788;0.49295774647887325
survivor-strafe_left_2;0;269;1;132;135;155;174;0.5037878787878788;0.4962962962962963
survivor-strafe_left_3;1;403;1;126;132;155;174;0.5037878787878788;0.5
survivor-strafe_left_4;0;403;135;132;116;155;174;0.5037878787878788;0.5
survivor-strafe_left_5;0;135;145;132;105;155;174;0.5037878787878788;0.5047619047619047
survivor-strafe_left_6;0;1;149;132;96;155;174;0.5037878787878788;0.5
survivor-strafe_left_7;0;269;138;132;90;155;174;0.5037878787878788;0.5
survivor-strafe_left_8;1;531;1;86;132;155;174;0.5037878787878788;0.5
survivor-strafe_left_9;0;537;135;132;82;155;174;0.5037878787878788;0.5
survivor-strafe_left_10;1;619;1;80;132;155;174;0.5037878787878788;0.5
survivor-strafe_left_11;0;537;135;132;82;155;174;0.5037878787878788;0.5
survivor-strafe_left_12;1;531;1;86;132;155;174;0.5037878787878788;0.5
survivor-strafe_left_13;0;269;138;132;90;155;174;0.5037878787878788;0.5
survivor-strafe_left_14;0;1;149;132;96;155;174;0.5037878787878788;0.5
survivor-strafe_left_15;0;135;145;132;105;155;174;0.5037878787878788;0.5047619047619047
survivor-strafe_left_16;0;403;135;132;116;155;174;0.5037878787878788;0.5
survivor-strafe_left_17;1;403;1;126;132;155;174;0.5037878787878788;0.5
survivor-strafe_left_18;0;269;1;132;135;155;174;0.5037878787878788;0.4962962962962963
survivor-strafe_left_19;0;135;1;132;142;155;174;0.5037878787878788;0.49295774647887325
